ID,Airline.ID,Destination.Airport.ID,Source.Airport.ID,Airline,Source.Airport,Destination.Airport,Codeshare,Stops,Equipment,Source_Name,Source_City,Source_Country,Source_IATA,Source_ICAO,Source_Lat,Source_Long,Source_Alt,Source_TZ,Source_DST,dest_Name,dest_City,dest_Country,dest_IATA,dest_ICAO,dest_Lat,dest_Long,dest_Alt,dest_TZ,dest_DST,Airline_Name,Airline_Alias,Airline_IATA,Airline_ICAO,Airline_Callsign,Airline_Country,Airline_Active
15487,2222,2179,273,EY,LOS,AUH,,0,332,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM,6.577369,3.321156,135,1,N,Abu Dhabi Intl,Abu Dhabi,United Arab Emirates,AUH,OMAA,24.432972,54.651138,88,4,U,Etihad Airways,\N,EY,ETD,ETIHAD,United Arab Emirates,Y
22132,2822,1229,273,IB,LOS,MAD,,0,319,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM,6.577369,3.321156,135,1,N,Barajas,Madrid,Spain,MAD,LEMD,40.493556,-3.566764,2000,1,E,Iberia Airlines,\N,IB,IBE,IBERIA,Spain,Y
22283,2822,273,1229,IB,MAD,LOS,,0,319,Barajas,Madrid,Spain,MAD,LEMD,40.493556,-3.566764,2000,1,E,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM,6.577369,3.321156,135,1,N,Iberia Airlines,\N,IB,IBE,IBERIA,Spain,Y
25176,3090,1382,260,KL,ABV,CDG,Y,0,772,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA,9.006792,7.263172,1123,1,N,Charles De Gaulle,Paris,France,CDG,LFPG,49.012779,2.55,392,1,E,KLM Royal Dutch Airlines,\N,KL,KLM,KLM,Netherlands,Y
25238,3090,260,1382,KL,CDG,ABV,Y,0,777,Charles De Gaulle,Paris,France,CDG,LFPG,49.012779,2.55,392,1,E,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA,9.006792,7.263172,1123,1,N,KLM Royal Dutch Airlines,\N,KL,KLM,KLM,Netherlands,Y
25269,3090,273,580,KL,AMS,LOS,,0,330,Schiphol,Amsterdam,Netherlands,AMS,EHAM,52.308613,4.763889,-11,1,E,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM,6.577369,3.321156,135,1,N,KLM Royal Dutch Airlines,\N,KL,KLM,KLM,Netherlands,Y
25358,3090,275,260,KL,ABV,PHC,Y,0,772,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA,9.006792,7.263172,1123,1,N,Port Harcourt Intl,Port Hartcourt,Nigeria,PHC,DNPO,5.015494,6.949594,87,1,N,KLM Royal Dutch Airlines,\N,KL,KLM,KLM,Netherlands,Y
25364,3090,580,273,KL,LOS,AMS,,0,330,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM,6.577369,3.321156,135,1,N,Schiphol,Amsterdam,Netherlands,AMS,EHAM,52.308613,4.763889,-11,1,E,KLM Royal Dutch Airlines,\N,KL,KLM,KLM,Netherlands,Y
25449,3090,260,275,KL,PHC,ABV,Y,0,777,Port Harcourt Intl,Port Hartcourt,Nigeria,PHC,DNPO,5.015494,6.949594,87,1,N,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA,9.006792,7.263172,1123,1,N,KLM Royal Dutch Airlines,\N,KL,KLM,KLM,Netherlands,Y
25512,3098,248,273,E2,LOS,ACC,,0,M82,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM,6.577369,3.321156,135,1,N,Kotoka Intl,Accra,Ghana,ACC,DGAA,5.605186,-0.166786,205,0,N,Kampuchea Airlines,\N,E2,KMP,KAMPUCHEA,Cambodia,N
